datetime,open,high,low,close,volume
"13,07,23 20:19",31564.02,31575.89,31546.01,31572.98,74.70128
"13,07,23 20:04",31657.89,31691.46,31657.89,31674.3,72.03275
"13,07,23 19:49",31524.43,31546.52,31507.77,31537.99,144.42989
"13,07,23 19:34",31663.98,31681.37,31650.9,31673.66,79.18412
"13,07,23 19:19",31356.07,31393.25,31356.07,31379.07,34.93102
"13,07,23 19:04",31255.57,31279.99,31252.45,31279.98,72.08533
"13,07,23 18:49",31192.18,31211.65,31126.68,31176.5,146.58063
"13,07,23 18:34",31191.61,31193.59,31161.88,31177.2,81.94818
"13,07,23 18:19",31278.98,31321.2,31262.88,31308.66,182.4397
"13,07,23 18:04",31124.96,31146.85,31105.94,31142.05,87.87432
"13,07,23 17:49",31104,31134,31098,31112.95,230.35428
"13,07,23 17:34",30930.37,30966.25,30920,30942.42,112.0309
"13,07,23 17:19",30825.04,30825.05,30802.61,30809.32,34.43211
"13,07,23 17:04",30874.32,30884.14,30852,30852.01,67.6188
"13,07,23 16:49",30803.99,30812.3,30795.44,30807.17,41.83752
"13,07,23 16:34",30784.34,30790.91,30718.27,30770.32,242.79961
"13,07,23 16:19",30924.02,30941.79,30891.41,30895.07,363.76901
"13,07,23 16:04",30863.6,30870,30816.74,30837.22,155.83843
"13,07,23 15:49",30942.79,31023,30927.32,30941.97,327.09315
"13,07,23 15:34",30780,30809.41,30751.26,30757.12,226.17501
"13,07,23 15:19",30568.25,30572.12,30568.24,30572.11,3.67229
"13,07,23 15:04",30587.47,30587.47,30587.46,30587.47,2.29071
"13,07,23 14:49",30585.27,30589.48,30582.22,30588.79,19.81559
"13,07,23 14:34",30622,30622.01,30598,30598.01,23.81715
"13,07,23 14:19",30548.01,30552,30548,30551.99,8.96071
"13,07,23 14:04",30582.92,30599.48,30570.68,30581.17,95.08322
"13,07,23 13:49",30646.01,30646.01,30631.79,30633.55,24.48254
"13,07,23 13:34",30572.01,30572.01,30566.12,30566.13,10.65483
"13,07,23 13:19",30550.44,30550.45,30544.14,30544.14,7.01287
"13,07,23 13:04",30537.23,30542.35,30537.22,30542.34,7.0264
"13,07,23 12:49",30595,30595,30580,30580,18.96032
"13,07,23 12:34",30515.03,30515.04,30477.65,30479.72,68.69734
"13,07,23 12:19",30560.02,30560.02,30560.01,30560.02,7.36098
"13,07,23 12:04",30560.97,30560.97,30551.19,30554,13.72512
"13,07,23 11:49",30549.99,30554.59,30549.99,30554.58,7.33914
"13,07,23 11:34",30553.1,30554.61,30549.53,30549.54,10.2929
"13,07,23 11:19",30570.77,30570.78,30570.77,30570.78,5.04845
"13,07,23 11:04",30594.14,30594.82,30594.13,30594.82,3.61627
"13,07,23 10:49",30585,30599.6,30585,30597.78,21.46074
"13,07,23 10:34",30579.99,30580,30576.42,30576.42,9.12675
"13,07,23 10:19",30532.42,30534,30532.41,30533.99,7.55168
"13,07,23 10:04",30546,30547.45,30529.84,30542.77,46.73135
"13,07,23 09:49",30576,30576,30547.21,30552,28.91103
"13,07,23 09:34",30532,30536.99,30526.94,30536.99,12.86341
"13,07,23 09:19",30505.99,30506,30493.88,30493.88,15.83463
"13,07,23 09:04",30463.64,30463.65,30452.48,30459.47,33.80377
"13,07,23 08:49",30405.39,30407.44,30405.38,30407.44,5.42376
"13,07,23 08:34",30396.71,30396.71,30392.28,30392.29,7.84336
"13,07,23 08:19",30383.79,30383.79,30379.6,30379.6,3.96153
"13,07,23 08:04",30360.17,30360.17,30360.16,30360.16,7.04506
"13,07,23 07:49",30380.01,30380.01,30376.93,30376.93,26.91734
"13,07,23 07:34",30385.54,30387,30385.53,30386.99,1.56692
"13,07,23 07:19",30412.86,30412.87,30412.86,30412.86,7.51428
"13,07,23 07:04",30403.72,30403.73,30400.35,30400.35,10.72894
"13,07,23 06:49",30359.84,30365.86,30359.83,30362.83,15.99405
"13,07,23 06:34",30348.82,30354.87,30348.82,30354.87,16.36104
"13,07,23 06:19",30336,30336.01,30329.23,30329.23,24.91467
"13,07,23 06:04",30310.13,30310.13,30310.12,30310.12,3.685
"13,07,23 05:49",30293.87,30304.84,30293.87,30302.57,34.62957
"13,07,23 05:34",30311,30311,30310.99,30310.99,4.47163
"13,07,23 05:19",30288.67,30290.4,30280.32,30280.32,14.47089
"13,07,23 05:04",30277.6,30277.6,30277.39,30277.39,15.37659
"13,07,23 04:49",30303.03,30304.01,30302.46,30304,34.3783
"13,07,23 04:34",30290.9,30297.69,30290.9,30297.68,17.41409
